Short name,Full name,Country,Country code,From,Roasted,Frozen,Defrosted,Process,Varietals ,Notes
eljar,EL JARDIN,COLOMBIA,COL,Foundry,25/09/2019,,,Washed,Castillo Colombia Caturra,plums chocolate caramel
eljar1,EL JARDIN,COLOMBIA,COL,Foundry,25/09/2019,30/09/2019,19/10/2019,Washed,Castillo Colombia Caturra,plums chocolate caramel
loscip,LOS CIPRESES,COSTA RICA,CRI,Foundry,25/09/2019,,,Special Black Honey,Villalobos,strawberry dates blood orange
loscip1,LOS CIPRESES,COSTA RICA,CRI,Foundry,25/09/2019,30/09/2019,,Special Black Honey,Villalobos,strawberry dates blood orange
gaku,GAKUYU-INI AA,KENYA,KEN,Foundry,25/09/2019,,,Washed,SL28 SL34,Rhubab lemon grass brown sugar
gaku1,GAKUYU-INI AA,KENYA,KEN,Foundry,25/09/2019,30/09/2019,19/10/2019,Washed,SL28 SL34,Rhubab lemon grass brown sugar
gei1,Finca El Fuerte,Bolivia,BOL,Has bean,02/10/2019,,,Washed,Geisha,Floral black tea peach
gei2,Finca El Fuerte,Bolivia,BOL,Has bean,02/10/2019,07/10/2019,,Washed,Geisha,Floral black tea peach
rock,ROCKO MOUNTAIN ,Ethiopia ,ETH,Foundry,25/09/2019,,,Natural ,Heirloom,Strawberries blueberry lime and chocolate
rock1,ROCKO MOUNTAIN ,Ethiopia ,ETH,Foundry,25/09/2019,30/09/2019,26/10/2019,Natural ,Heirloom,Strawberries blueberry lime and chocolate
