date,beanName,beanWeight,coffeeWeight,grind,time,notes,weightEverySec,pressureEverySec
2019 01 06 Sun 09:58,flt,13.5,244.3,20,170,as good as illy could be?Keep this one,0.0;0.0;0.0;0.0;0.0;1.8;4.6;7.3;10.1;12.6;15.4;18.1;21.4;24.8;26.1;26.1;26.1;26.6;25.9;27.1;26.0;26.0;26.5;26.1;26.0;25.9;25.9;25.9;25.9;25.9;25.9;25.8;25.8;25.8;25.8;25.8;25.9;25.9;25.9;25.8;25.8;25.9;25.9;25.9;25.9;25.9;25.9;25.8;25.9;25.9;25.9;25.9;25.9;25.9;25.8;26.6;31.0;35.7;40.8;46.8;52.9;58.8;64.8;70.6;76.6;83.9;89.8;96.4;102.4;108.4;114.1;119.4;122.7;122.7;72.6;0.0;0.0;11.3;122.4;122.6;122.6;122.6;122.6;122.6;122.5;122.5;122.5;122.6;122.5;122.6;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.4;122.4;122.4;123.2;126.5;130.2;134.3;139.5;144.5;149.8;155.1;160.6;166.7;173.0;178.8;184.7;190.4;197.3;204.5;211.5;218.6;223.8;225.8;226.0;227.6;161.4;147.5;161.6;199.1;225.9;225.9;225.9;225.9;225.9;225.9;225.9;225.9;225.9;225.8;225.8;225.8;225.8;225.8;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.7;225.6;225.7;225.6;225.6;225.6;225.6;225.6;225.6;225.6;225.6;225.6;225.6;225.6;225.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 06 Sun 10:09,guat,18.5,37.2,3.8,37,Nice fw but time too short. Go 3.5,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.5;0.9;1.5;2.0;2.7;3.6;4.7;6.0;7.1;8.9;10.4;12.5;14.6;16.8;19.2;21.7;24.3;26.9;29.2;32.1;34.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 07 Mon 09:46,guat,18.6,37.7,3.5,46,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.4;0.6;1.2;1.6;2.1;2.6;3.6;4.2;5.0;6.5;7.5;8.8;10.4;12.2;14.2;16.2;18.0;20.0;22.1;24.2;26.5;28.8;31.1;33.4;35.7;36.9;37.1;37.4;37.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 07 Mon 11:15,flt,13.5,231.8,20,186,,0.0;0.0;0.0;0.0;2.7;6.0;9.4;12.1;15.1;18.0;21.6;24.3;24.6;24.6;24.6;24.6;24.6;24.6;24.7;24.5;24.7;24.8;25.0;24.8;24.7;24.5;24.7;24.5;24.5;24.5;24.5;24.4;24.4;24.4;24.4;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;26.1;28.9;31.4;34.4;37.7;40.5;44.2;48.6;53.6;58.6;63.8;69.1;74.5;80.7;87.0;93.3;99.9;105.5;111.0;116.5;121.6;124.6;124.8;124.7;30.9;0.0;64.6;124.7;124.7;124.7;124.7;124.6;124.6;124.6;124.6;124.6;124.6;124.6;124.6;124.6;124.6;124.5;124.5;124.5;124.5;124.5;124.5;124.5;124.5;124.5;124.5;126.1;129.4;132.8;136.6;140.6;144.9;149.4;154.7;159.7;165.4;170.2;175.5;180.8;185.7;190.8;195.4;200.0;204.6;210.1;215.8;220.9;224.8;227.2;227.5;227.0;138.6;51.0;5.9;7.3;120.7;227.4;227.4;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.2;227.2;227.2;227.2;227.2;227.2;227.2;227.2;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;226.9;227.0;227.0;227.0;227.0;227.0;227.0;227.0;227.0;227.0;227.0;227.0;226.9;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 12 Sat 19:19,nic,18.4,36.9,3.8,33,bit bitter,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.3;2.7;4.2;5.6;7.6;9.7;12.0;14.5;17.2;20.0;22.5;25.6;28.4;31.4;34.1;36.1;36.6;36.8;36.9;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 13 Sun 10:04,nic,18.4,80.5,3.8,56,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;2.4;4.2;6.0;7.8;9.7;11.7;13.6;15.3;17.3;19.3;21.3;23.2;25.2;27.1;29.0;30.8;33.0;34.8;36.7;38.7;40.8;42.6;44.4;46.4;48.3;50.3;52.2;54.1;56.0;57.9;59.7;61.7;63.7;65.5;67.5;69.3;71.3;73.2;75.1;76.9;78.8;80.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 13 Sun 10:10,guat,18.5,38.8,3.5,50,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.4;0.8;1.2;1.6;1.9;2.5;3.0;3.6;4.4;5.4;6.4;7.3;8.7;10.0;11.3;13.0;14.7;16.5;18.4;20.3;22.3;24.3;26.4;28.5;30.6;32.8;34.6;36.5;37.9;38.6;38.7;38.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 13 Sun 10:49,flt,13.5,227.6,20,172,,0.0;0.0;0.0;0.0;2.1;5.4;8.5;12.1;15.8;19.9;24.6;29.5;34.5;38.8;39.5;39.5;39.5;39.4;39.3;39.3;39.3;39.3;39.5;39.4;39.4;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;39.3;41.3;44.3;47.7;51.9;56.1;61.3;67.3;73.0;78.5;84.3;88.7;93.6;97.6;102.5;106.9;111.1;115.3;118.8;122.7;126.8;131.3;134.3;134.3;133.6;28.4;0.2;9.2;133.1;134.2;134.2;134.2;134.2;134.2;134.2;134.2;134.2;134.2;134.2;134.2;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.0;136.3;140.3;144.8;150.1;155.2;160.4;165.7;171.1;176.3;181.6;186.5;191.5;197.0;203.6;208.9;214.1;219.8;224.0;226.7;227.6;227.6;173.4;42.9;45.1;47.8;112.8;227.5;227.5;227.5;227.4;227.4;227.4;227.4;227.4;227.4;227.4;227.4;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.2;227.3;227.2;227.2;227.2;227.2;227.2;227.2;227.2;227.2;227.1;227.1;227.1;227.1;227.1;227.1;227.1;227.1;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 13 Sun 14:43,guat,-18.5,29.5,3.5,39,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;29.5;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 14 Mon 09:43,guat,18.6,81.9,4.5,63,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;1.9;1.2;0.0;5.0;7.1;8.9;10.6;12.2;13.9;15.5;17.1;18.6;20.3;22.3;24.0;25.8;27.4;29.2;30.9;32.5;34.1;35.8;37.9;39.3;41.2;42.8;44.5;46.2;47.9;49.4;51.3;52.7;54.2;55.9;57.6;59.4;60.7;62.7;64.1;65.8;67.7;69.1;70.4;72.4;74.1;75.8;77.4;78.8;80.5;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
